id,name,url,category,nviews,nvotes,average_note
87680,Make a Strawberry Cake,http://www.wikihow.com/Make-a-Strawberry-Cake,Food and Entertaining/Recipes/Baking/Cakes/Fruit Cakes,3928.0,6.0,77.0
114508,Make a Christmas Cake,http://www.wikihow.com/Make-a-Christmas-Cake,Food and Entertaining/Holiday Cooking/Christmas Cooking,110299.0,46.0,75.0
34967,Make Tuticorin Macaroons,http://www.wikihow.com/Make-Tuticorin-Macaroons,Food and Entertaining/Recipes,2708.0,1.0,100.0
91515,Make Pancakes,http://www.wikihow.com/Make-Pancakes,Food and Entertaining/Breakfast/Pancakes,5057026.0,23.0,91.0
94276,Make Meringue,http://www.wikihow.com/Make-Meringue,Food and Entertaining/Recipes,16772.0,39.0,82.0
91518,Make Sourdough Pancakes,http://www.wikihow.com/Make-Sourdough-Pancakes,Food and Entertaining/Breakfast/Pancakes,49099.0,5.0,100.0
101028,Make Banana Pudding,http://www.wikihow.com/Make-Banana-Pudding,Food and Entertaining/Recipes/Desserts and Sweets/Puddings,236635.0,43.0,88.0
91586,Make Potato Pancakes,http://www.wikihow.com/Make-Potato-Pancakes,Food and Entertaining/Breakfast/Pancakes,101897.0,36.0,83.0
109972,Make Banana Ice Cream,http://www.wikihow.com/Make-Banana-Ice-Cream,Food and Entertaining/Recipes/Desserts and Sweets/Ice Cream and Frozen Desserts/Fruit Ice Cream,3781.0,3.0,73.0
91511,Make Buttermilk Pancakes,http://www.wikihow.com/Make-Buttermilk-Pancakes,Food and Entertaining/Breakfast/Pancakes,188273.0,46.0,74.0
118831,Make Tiramisu Coffee,http://www.wikihow.com/Make-Tiramisu-Coffee,Food and Entertaining/Drinks/Coffee,14910.0,0.0,0.0
118819,Make Dutch Coffee,http://www.wikihow.com/Make-Dutch-Coffee,Food and Entertaining/Drinks/Coffee,1565.0,1.0,100.0
44043,Make Lavender Lemonade,http://www.wikihow.com/Make-Lavender-Lemonade,Food and Entertaining/Drinks/Citrus Based Drinks/Lemonade Drinks,12040.0,7.0,71.0
16323,Make Steamed Rice,http://www.wikihow.com/Make-Steamed-Rice,Food and Entertaining/Food Preparation/Basic Cooking Skills/Steaming Food,383678.0,72.0,80.0
1373,Make Steak Teppanyaki,http://www.wikihow.com/Make-Steak-Teppanyaki,Food and Entertaining/Recipes/World Cuisines/Asian Cuisine/Japanese Dishes,28139.0,4.0,75.0
53193,Make a Latte,http://www.wikihow.com/Make-a-Latte,Food and Entertaining/Drinks/Coffee/Espresso Based Coffee,861311.0,59.0,78.0
42901,Make Mocha Nutella Gelato,http://www.wikihow.com/Make-Mocha-Nutella-Gelato,Food and Entertaining/Recipes/Desserts and Sweets,801.0,1.0,100.0
53195,Make a Caramel Macchiato,http://www.wikihow.com/Make-a-Caramel-Macchiato,Food and Entertaining/Drinks/Coffee/Espresso Based Coffee,466989.0,17.0,72.0
118780,Make a Cafe Au Lait,http://www.wikihow.com/Make-a-Cafe-Au-Lait,Food and Entertaining/Drinks/Coffee,179290.0,56.0,88.0
53204,Make an Americano,http://www.wikihow.com/Make-an-Americano,Food and Entertaining/Drinks/Coffee/Espresso Based Coffee,167031.0,34.0,85.0
118779,Make a Blended Iced Cappuccino,http://www.wikihow.com/Make-a-Blended-Iced-Cappuccino,Food and Entertaining/Drinks/Coffee,245971.0,51.0,69.0
83956,Make a Frappe,http://www.wikihow.com/Make-a-Frappe,Food and Entertaining/Drinks/Smoothies Shakes and Milk,132024.0,23.0,87.0
77721,Make Irish Coffee,http://www.wikihow.com/Make-Irish-Coffee,Food and Entertaining/Drinks/Alcoholic Drinks/Spirits and Liqueurs/Cocktails/Whiskey Based Cocktails,327611.0,84.0,94.0
23524,Make Mad Eye Martini Jello Shots,http://www.wikihow.com/Make-Mad-Eye-Martini-Jello-Shots,Food and Entertaining/Drinks/Alcoholic Drinks/Spirits and Liqueurs/Mixed Drink Shooters and Shots/Jello and Jelly Shots,31260.0,10.0,80.0
72954,Make Bicerin,http://www.wikihow.com/Make-Bicerin,Food and Entertaining/Drinks/Chocolate and Cocoa Drinks,325.0,0.0,0.0
23521,Make Jello Shots,http://www.wikihow.com/Make-Jello-Shots,Food and Entertaining/Drinks/Alcoholic Drinks/Spirits and Liqueurs/Mixed Drink Shooters and Shots/Jello and Jelly Shots,8971649.0,6.0,50.0
109761,Make Watermelon Lemonade,http://www.wikihow.com/Make-Watermelon-Lemonade,Food and Entertaining/Recipes/Fruits and Vegetables/Watermelons,41134.0,15.0,73.0
30744,Make Gummy Bears,http://www.wikihow.com/Make-Gummy-Bears,Food and Entertaining/Recipes/Chocolate and Candy/Jelly Candy,759710.0,41.0,76.0
44047,Make Lemonade,http://www.wikihow.com/Make-Lemonade,Food and Entertaining/Drinks/Citrus Based Drinks/Lemonade Drinks,1065662.0,61.0,84.0
77194,Make Limeade,http://www.wikihow.com/Make-Limeade,Food and Entertaining/Drinks/Citrus Based Drinks,198944.0,9.0,89.0
67160,Pickle Okra,http://www.wikihow.com/Pickle-Okra,Food and Entertaining/Recipes/Fruits and Vegetables/Okra,30300.0,26.0,92.0
20880,Make Tuna Salad,http://www.wikihow.com/Make-Tuna-Salad,Food and Entertaining/Recipes/Salads/Seafood and Fish Salads,195256.0,39.0,71.0
96366,Can Tomato Sauce,http://www.wikihow.com/Can-Tomato-Sauce,Food and Entertaining/Recipes/Jams Preserves and Condiments/Sauces/Tomato Sauces,14116.0,14.0,93.0
105259,Make Garlic Dill Pickles,http://www.wikihow.com/Make-Garlic-Dill-Pickles,Food and Entertaining/Recipes/Jams Preserves and Condiments/Pickles,7054.0,7.0,100.0
105222,Make Kimchi Fried Rice,http://www.wikihow.com/Make-Kimchi-Fried-Rice,Food and Entertaining/Recipes/Rice and Beans/Fried Rice Dishes,51535.0,5.0,100.0
105209,Make Chinese Fried Rice,http://www.wikihow.com/Make-Chinese-Fried-Rice,Food and Entertaining/Recipes/Rice and Beans/Fried Rice Dishes,128588.0,17.0,78.0
29477,Cook Tuna Steak,http://www.wikihow.com/Cook-Tuna-Steak,Food and Entertaining/Recipes/Fish and Seafood/Tuna,1027977.0,15.0,93.0
100901,Make Papaya Salad,http://www.wikihow.com/Make-Papaya-Salad,Food and Entertaining/Recipes/Desserts and Sweets/Fruit Desserts,43121.0,4.0,100.0
20898,Make Stuffed Eggplant with Fish,http://www.wikihow.com/Make-Stuffed-Eggplant-with-Fish,Food and Entertaining/Recipes/Salads/Seafood and Fish Salads,1534.0,0.0,0.0
97633,Make Masala Sauce,http://www.wikihow.com/Make-Masala-Sauce,Food and Entertaining/Recipes/Jams Preserves and Condiments/Sauces,59054.0,39.0,90.0
93400,Make Fish Stew,http://www.wikihow.com/Make-Fish-Stew,Food and Entertaining/Recipes/Fish and Seafood,438.0,0.0,0.0
106686,Make Tomato Rice,http://www.wikihow.com/Make-Tomato-Rice,Food and Entertaining/Recipes/Rice and Beans,2508.0,2.0,100.0
103832,Make Chili Con Carne,http://www.wikihow.com/Make-Chili-Con-Carne,Food and Entertaining/Recipes/World Cuisines/Central and South American Cuisine/Chili Dishes,49691.0,2.0,100.0
106568,Cook Brazilian Rice,http://www.wikihow.com/Cook-Brazilian-Rice,Food and Entertaining/Recipes/Rice and Beans,17578.0,21.0,86.0
51659,Make Edamame Corn Salad,http://www.wikihow.com/Make-Edamame-Corn-Salad,Food and Entertaining/Recipes/Salads/Bean and Legume Salads,1994.0,1.0,0.0
105762,Make Prawn Curry,http://www.wikihow.com/Make-Prawn-Curry,Food and Entertaining/Recipes/Fish and Seafood/Prawns and Shrimp,250700.0,98.0,88.0
95603,Make Kerala Fish Curry,http://www.wikihow.com/Make-Kerala-Fish-Curry,Food and Entertaining/Recipes/World Cuisines/Indian Cuisine,29539.0,0.0,0.0
71781,Make Taco Salad,http://www.wikihow.com/Make-Taco-Salad,Food and Entertaining/Recipes/World Cuisines/Central and South American Cuisine/Taco Dishes,170807.0,1.0,100.0
